"productId","category","description","discount","images","imageUrl","name","price","section","specifications"
"HL-PROJ-TRLASER-001","Headlight Projectors","The pinnacle of aftermarket lighting technology. Incorporates three high-power laser diodes alongside a quad-chip Bi-LED array for unparalleled high beam performance.","30% OFF","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/Triple+laser+bi-led+projector.jpg","3.0-Inch Triple Laser Bi-LED Projector (Ultimate Edition)","4500000","deal","""Projector Size: 3.0 Inch | Light Sources: 4x CREE XHP70.2 LEDs + 3x 2.5W Laser Diodes | Total System Power: ~65W | Peak High Beam Intensity: >350,000 Candela | Beam Distance: 180-220m (Low) / 550-700m (High) | Warranty: 5 Years Limited"""
"PROD-1779572525274-39","Turn Signals","""Premium 7440 LED Turn Signal - Switchback White/Amber. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0285.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0286.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0285.jpeg","7440 LED Turn Signal - Switchback White/Amber","2000","accessory","""Power: 10W | Lumens: 1200LM | Lifespan: 50,000 Hours | Color: Switchback White/Amber"""
"PROD-1779571983956-22","Interior Lighting","High-quality automotive LED lighting solution. Footwell Lighting Kit - RGB designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0066.jpeg","Footwell Lighting Kit - RGB","1800","best-seller","Strips: 4 x 30cm | LEDs: RGB Multicolor | Control: Remote | Modes: 8 Colors + Music Sync"
"PROD-1779572447395-21","Fog Lights","""Premium H11 Fog Light LED - Yellow 3000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0147.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0153.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0154.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0147.jpeg","H11 Fog Light LED - Yellow 3000K","3500","new-arrival","""Power: 30W | Lumens: 6000LM | Lifespan: 50,000 Hours | Color: Yellow 3000K"""
"PROD-1779572452477-22","Fog Lights","""Premium H11 Fog Light LED - White 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0155.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0156.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0157.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0155.jpeg","H11 Fog Light LED - White 6000K","3800","carousel","""Power: 30W | Lumens: 6000LM | Lifespan: 50,000 Hours | Color: White 6000K"""
"PROD-1779572436182-18","Headlights","""Premium D2S HID Xenon Bulb - 4300K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0129.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0131.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0129.jpeg","D2S HID Xenon Bulb - 4300K","8000","deal","""Power: 35W | Lumens: 3200LM | Lifespan: 3,000 Hours | Color: 4300K"""
"PROD-1779571880333-5","Fog Lights","High-quality automotive LED lighting solution. H8 Fog Light LED - White designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0015.jpeg","H8 Fog Light LED - White","3200","new-arrival","""Bulb Type: H8 | Power: 25W | Lumens: 5000LM | Color: 6000K White | Lifespan: 50,000 Hours"""
"PROD-1779572528292-40","Turn Signals","""Premium 3157 LED Turn Signal - Amber. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0287.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0288.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0287.jpeg","3157 LED Turn Signal - Amber","1400","best-seller","""Power: 10W | Lumens: 1200LM | Lifespan: 50,000 Hours | Color: Amber"""
"PROD-1779571977294-19","Angel Eyes & Halo Rings","High-quality automotive LED lighting solution. Angel Eye Halo Rings - 80mm designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0053.jpeg","Angel Eye Halo Rings - 80mm","1800","new-arrival","Diameter: 80mm | LEDs: SMD 2835 | Color: 6000K White | Power: 3W | Quantity: 2 Rings"
"ACC-COTTON-ANGEL-001","Angel Eyes & Halo Rings","""Premium halo ring that produces perfectly smooth, diffused glow without LED hotspots. Emulates high-end factory LED signatures.""","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/5d+angel+rings.jpg","Cotton Effect Angel Eye Ring (OEM Style)","800000","accessory","Ring Diameters: 75mm-105mm | LED Type: Cool White 6000K SMD 2835 | Brightness: 400 Lumens per ring | Power: 3W per ring | Connection: Simple 2-Wire"
"INT-AMB-FOOT-001","Interior Lighting","""Two-zone kit for illuminating driver and passenger footwells with soft, adjustable glow. Features static colors, breathe effect, and music reaction.""","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/Interior+ambient+light2.jpg","Dedicated Footwell Ambient Lighting Kit","350000","new-arrival","""LED Strips: 2 x 30cm Flexible RGB Strips | Brightness: Adjustable | Control: Wired 4-Button Remote | Modes: 8 Static Colors, Breathe, Music Mode"""
"PROD-1779571998805-29","Turn Signals","High-quality automotive LED lighting solution. Switchback LED Turn Signal - White/Amber designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0085.jpeg","Switchback LED Turn Signal - White/Amber","1800","new-arrival","Bulb Type: 7440/7443 | Colors: White DRL + Amber Turn | Power: 20W | Lumens: 2000LM"
"PROD-1779571878219-4","Fog Lights","High-quality automotive LED lighting solution. H11 Fog Light LED - Yellow designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0012.jpeg","H11 Fog Light LED - Yellow","3500","best-seller","""Bulb Type: H11 | Power: 30W | Lumens: 6000LM | Color: 3000K Yellow | Lifespan: 50,000 Hours"""
"PROD-1779572432974-17","Headlights","""Premium D3S HID Xenon Bulb - 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0120.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0125.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0120.jpeg","D3S HID Xenon Bulb - 6000K","9000","carousel","""Power: 35W | Lumens: 3200LM | Lifespan: 3,000 Hours | Color: 6000K"""
"PROD-1779572601688-55","Headlight Projectors","""Premium Bi-LED Projector - 2.5 Inch. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0387.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0388.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0389.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0387.jpeg","Bi-LED Projector - 2.5 Inch","12000","best-seller","Power: 60W | Lumens: 12000LM | Beam: Bi-Function | Color: 2.5 Inch"
"PROD-1779572611700-57","Headlight Projectors","""Premium Bi-LED Projector - 3.5 Inch. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0405.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0406.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0407.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0405.jpeg","Bi-LED Projector - 3.5 Inch","18000","carousel","Power: 60W | Lumens: 12000LM | Beam: Bi-Function | Color: 3.5 Inch"
"FL-PROJ-2INCH-002","Fog Lights & Auxiliary Lighting","""An evolution of the standard 2-inch fog light, this model features a combo beam pattern. It provides a wide, flat flood for immediate foreground and road edges, combined with a subtle, longer-reaching 'cornering' beam to improve visibility into turns. Ideal for drivers on winding roads or those who want maximum situational awareness in poor weather. Includes a plug-and-play harness with a relay for direct battery connection.""","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/2+inch+fog+light+projector.jpg","2-Inch Fog Light Projector (Combo Beam)","1200000","carousel","""Size: 2 Inch | Beam Pattern: Wide Flood + Cornering Spot | LED: Dual-Filament Simulation (Separate chips for flood and spot) | Power: 24W (12W per chip) | Light Output: 1500 Lumens Flood + 800 Lumens Spot | Housing: Aluminum with Integrated Cooling Fins | Mounting: Adjustable Spherical Ball Mount | Included: Pair of Lights, Relay Harness, Switch, Dashboard Rocker, All Hardware"""
"PROD-1779572629459-61","Angel Eyes & Halo Rings","""Premium Angel Eye Halo Ring - 80mm. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0433.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0435.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0437.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0433.jpeg","Angel Eye Halo Ring - 80mm","1800","new-arrival","LEDs: SMD 2835 | Color: 6000K White | Power: 3W | Color: 80mm"
"PROD-1779572478209-28","Fog Lights","""Premium 9006 Fog Light LED - Yellow 3000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0200.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0201.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0200.jpeg","9006 Fog Light LED - Yellow 3000K","3400","deal","""Power: 28W | Lumens: 5500LM | Lifespan: 50,000 Hours | Color: Yellow 3000K"""
"PROD-1779572398293-9","Headlights","""Premium HB3 LED Headlight Bulb - 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0066.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0067.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0066.jpeg","HB3 LED Headlight Bulb - 6000K","4000","accessory","""Power: 40W | Lumens: 8000LM | Lifespan: 50,000 Hours | Color: 6000K"""
"PROD-1779572378276-4","Headlights","""Premium H7 LED Headlight Bulb - 6500K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0027.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0030.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0031.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0027.jpeg","H7 LED Headlight Bulb - 6500K","4500","accessory","""Power: 45W | Lumens: 9000LM | Lifespan: 50,000 Hours | Color: 6500K"""
"PROD-1779571979553-20","Turn Signals","High-quality automotive LED lighting solution. Sequential Turn Signal Strip designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0054.jpeg","Sequential Turn Signal Strip","2200","deal","Length: 60cm | LEDs: Amber Sequential | Control: Plug & Play | Modes: Sequential Flow | Waterproof: IP67"
"PROD-1779572429714-16","Headlights","""Premium D3S HID Xenon Bulb - 5000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0117.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0118.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0119.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0117.jpeg","D3S HID Xenon Bulb - 5000K","8500","new-arrival","""Power: 35W | Lumens: 3200LM | Lifespan: 3,000 Hours | Color: 5000K"""
"DRL-STRIP-RGB-001","Daytime Running Lights (DRL)","""Slim-profile, high-intensity LED strip designed to function as a bright white Daytime Running Light (meeting ECE R87 intensity standards) and switch to an Amber sequential turn signal. In parking light mode, it can also display customizable RGB colors for a personalized look. Features a matte black housing with an optically clear lens for maximum light output and a seamless appearance when off. Ideal for custom bumper or grille installations.""","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/clolorful+daytime+running+light.jpg","Color-Changing DRL & Position Light Strip","950000","carousel","""Dimensions: 500mm Length, 10mm Width, 8mm Height | DRL LEDs: 6000K Cool White, CREE XP-G3 | Turn Signal LEDs: Amber, Sequential Sweep Pattern | RGB LEDs: For Parking/Show Mode Only | Power: 12W (DRL Mode) | IP Rating: IP69K (High Pressure & Steam Resistant) | Control: 5-Wire System (Battery+, ACC+, Ground, Turn Signal, RGB Control) | Housing: Extruded Aluminum with Polycarbonate Lens"""
"PROD-1779571919158-23","Accessories","High-quality automotive LED lighting solution. LED Bulb Installation Tool Kit designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0067.jpeg","LED Bulb Installation Tool Kit","1200","accessory","""Includes: Bulb Removal Tool, Wire Strippers, Crimpers, Electrical Tape, Cable Ties"""
"PROD-1779571989918-25","Accessories","High-quality automotive LED lighting solution. Canbus LED Decoder - Universal designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0069.jpeg","Canbus LED Decoder - Universal","1000","accessory","Type: Canbus Error Eliminator | Compatibility: Universal | Voltage: 12V | Quantity: 2 Pieces"
"PROD-1779572365062-2","Headlights","""Premium H11 LED Headlight Bulb - 8000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0012.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0015.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0012.jpeg","H11 LED Headlight Bulb - 8000K","5200","carousel","""Power: 50W | Lumens: 10000LM | Lifespan: 50,000 Hours | Color: 8000K"""
"PROD-1779572565909-46","Interior Lighting","""Premium Festoon LED Dome Light - 31mm White. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0329.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0330.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0329.jpeg","Festoon LED Dome Light - 31mm White","1000","new-arrival","""Power: 6W | Lumens: 800LM | Lifespan: 50,000 Hours | Color: 31mm White"""
"PROD-1779572372682-3","Headlights","""Premium H7 LED Headlight Bulb - 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0017.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0021.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0024.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0017.jpeg","H7 LED Headlight Bulb - 6000K","4200","deal","""Power: 45W | Lumens: 9000LM | Lifespan: 50,000 Hours | Color: 6000K"""
"PROD-1779572621022-59","Headlight Projectors","""Premium Laser Bi-LED Projector - Triple Laser. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0417.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0423.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0424.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0417.jpeg","Laser Bi-LED Projector - Triple Laser","45000","accessory","""Power: 65W | Peak Intensity: >350,000 Candela | Warranty: 5 Years | Color: Triple Laser"""
"PROD-1779571894628-12","Interior Lighting","High-quality automotive LED lighting solution. RGB LED Strip - 5M Interior Kit designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0032.jpeg","RGB LED Strip - 5M Interior Kit","2500","deal","Length: 5 Meters | LEDs: 300 SMD 5050 | Control: Remote + App | Colors: 16 Million | Waterproof: IP65"
"PROD-1779571861411-0","Headlights","High-quality automotive LED lighting solution. H11 LED Headlight Bulb - 6000K designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0002.jpg","H11 LED Headlight Bulb - 6000K","4500","best-seller","""Bulb Type: H11 | Power: 50W | Lumens: 10000LM | Color: 6000K Cool White | Lifespan: 50,000 Hours"""
"PROD-1779572481631-29","Fog Lights","""Premium 9006 Fog Light LED - White 6000K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0210.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0213.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0210.jpeg","9006 Fog Light LED - White 6000K","3700","accessory","""Power: 28W | Lumens: 5500LM | Lifespan: 50,000 Hours | Color: White 6000K"""
"PROD-1779572360041-1","Headlights","""Premium H11 LED Headlight Bulb - 6500K. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0006.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0009.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0006.jpeg","H11 LED Headlight Bulb - 6500K","4800","new-arrival","""Power: 50W | Lumens: 10000LM | Lifespan: 50,000 Hours | Color: 6500K"""
"PROD-1779571970707-16","Accessories","High-quality automotive LED lighting solution. H11 to H9 Adapter Harness designed for superior performance and durability.","","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0036.jpeg","H11 to H9 Adapter Harness","500","accessory","Connector: H11 Female to H9 Male | Wire Gauge: 18AWG | Length: 15cm | Heat Resistant"
"FL-TRI-COLOR-001","Fog Lights & Auxiliary Lighting","""Versatile fog light that serves three functions: White DRL, Selective Yellow Fog Light, and Amber Turn Signal with sequential sweep.""","20% OFF","","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/Fog+light+TRI+color.jpg","Tricolor Switchback LED Fog Light Pod","1500000","deal","""Housing: Die-Cast Aluminum | Lens: Smoked Polycarbonate | Functions: DRL (White), Fog (Yellow), Turn Signal (Amber Sequential) | Power: 18W total | Beam Pattern: Wide Flood | IP Rating: IP68"""
"PROD-1779572634492-62","Angel Eyes & Halo Rings","""Premium Angel Eye Halo Ring - 100mm. High-quality automotive LED lighting solution designed for superior performance, durability, and easy installation. Perfect upgrade for your vehicle.""","","[{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0446.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0447.jpeg""},{""S"":""https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0454.jpeg""}]","https://lighthubcustoms.s3.us-east-1.amazonaws.com/products/IMG-20260418-WA0446.jpeg","Angel Eye Halo Ring - 100mm","2000","carousel","LEDs: SMD 2835 | Color: 6000K White | Power: 3W | Color: 100mm"
